SITC_code,description,sector_code,stage,multiplier
S2-674,"Universals, plates, and sheets, of iron or steel",,,
S2-6741,Universal plates of iron or steel,,,
S2-67414,Universal plates of iron or steel; of other than high carbon or alloy steel,,,
S2-67415,Universal plates of iron or steel; of high carbon or alloy steel,,,
S2-6744,"Sheet, plates, rolled of thickness 4,75mm plus, of iron or steel",,,
S2-67441,"Sheet, plates, rolled of thickness 4,75mm plus, of iron or steel; of other than high carbon or alloy steel",,,
S2-67442,"Sheet, plates, rolled of thickness 4,75mm plus, of iron or steel; of high carbon steel",,,
S2-67443,"Sheet, plates, rolled of thickness 4,75mm plus, of iron or steel; of stainless or heat-resistant steel",,,
S2-67444,"Sheet, plates, rolled of thickness 4,75mm plus, of iron or steel; of other alloy steel",,,
S2-6745,"Sheet, plates, rolled of thickness 3mm to 4,75mm, of iron or steel",,,
S2-67451,"Sheet, plates, rolled of thickness 3mm to 4,75mm, of iron or steel; of other than high carbon or alloy steel",,,
S2-67452,"Sheet, plates, rolled of thickness 3mm to 4,75mm, of iron or steel; of high carbon steel",,,
S2-67453,"Sheet, plates, rolled of thickness 3mm to 4,75mm, of iron or steel; of stainless or heat-resistant steel",,,
S2-67454,"Sheet, plates, rolled of thickness 3mm to 4,75mm, of iron or steel; of other alloy steel",,,
S2-6746,"Sheet, plates, rolled of thickness less 3mm, of iron or steel",,,
S2-67461,"Sheet, plates, rolled of thickness less 3mm, of iron or steel; of other than high carbon or alloy steel",,,
S2-67462,"Sheet, plates, rolled of thickness less 3mm, of iron or steel; of high carbon steel",,,
S2-67463,"Sheet, plates, rolled of thickness less 3mm, of iron or steel; of stainless or heat-resistant steel",,,
S2-67464,"Sheet, plates, rolled of thickness less 3mm, of iron or steel; of other alloy steel",,,
S2-6747,"Tinned sheets, plates of steel (not of high carbon or alloy steel)",,,
S2-6749,"Other sheet and plates, of iron or steel, worked",,,
S2-67491,"Other sheet and plates, of iron or steel, worked; of other than high carbon or alloy steel (excluding tinned)",,,
S2-67492,"Other sheet and plates, of iron or steel, worked; of high carbon steel",,,
S2-67493,"Other sheet and plates, of iron or steel, worked; of stainless or heat-resistant steel",,,
S2-67494,"Other sheet and plates, of iron or steel, worked; of other alloy steel",,,
S2-675,"Hoop and strip of iron or steel, hot-rolled or cold-rolled",,,
S2-6750,"Hoop and strip of iron or steel, hot-rolled or cold-rolled",,,
S2-67501,"Hoop and strip of iron or steel, hot-rolled or cold-rolled; of other than high carbon or alloy steel",,,
S2-67502,"Hoop and strip of iron or steel, hot-rolled or cold-rolled; of high carbon steel",,,
S2-67504,"Hoop and strip of iron or steel, hot-rolled or cold-rolled; of stainless or heat-resistant steel",,,
S2-67505,"Hoop and strip of iron or steel, hot-rolled or cold-rolled; of other alloy steel",,,
S2-676,"Rails and railway track construction materials, of iron or steel",,,
S2-6760,"Rails and railway track construction materials, of iron or steel",,,
S2-67601,Rails (other than check and rack rails) of iron or steel,,,
S2-67602,"Other railway, tramway track construction material of iron or steel",,,
S2-677,"Iron or steel wire (excluding wire rod), not insulated",,,
S2-6770,"Iron or steel wire (excluding wire rod), not insulated",,,
S2-67701,"Iron or steel wire (excluding wire rod), not insulated; of other than high carbon or alloy steel",,,
S2-67702,"Iron or steel wire (excluding wire rod), not insulated; of high carbon steel",,,
S2-67704,"Iron or steel wire (excluding wire rod), not insulated; of stainless or heat-resistant steel",,,
S2-67705,"Iron or steel wire (excluding wire rod), not insulated; of other alloy steel",,,
S2-678,"Tube, pipes and fittings, of iron or steel",,,
S2-6781,"Tubes and pipes, of cast iron",,,
S2-6782,"Seamless tubes, pipes; blanks for tubes and pipes, of iron or steel",,,
S2-6783,"Other tubes and pipes, of iron or steel",,,
S2-6784,High-pressure hydro-electric conduit of steel,,,
S2-6785,"Tube and pipes fittings, of iron or steel",,,
S2-679,"Iron, steel casting, forging and stamping, in the rough state, nes",,,
S2-6793,"Steel and iron forging and stampings, in the rough state",,,
S2-6794,"Castings of iron or steel, in rough state",,,
S2-67941,Iron castings rough,,,
S2-67942,Steel castings rough,,,
S2-68,Non-ferrous metals,,,
S2-681,"Silver, platinum and other metals of the platinum group",,,
S2-6811,"Silver, unwrought, unworked, or semi-manufactured",,,
S2-68112,Rolled silver,,,
S2-68113,"Silver unwrought (including silver guilt, platinum-plated silver)",,,
S2-68114,Silver semi-manufactured,,,
S2-6812,"Metals of platinum group, unwrought, unworked, or semi-manufactured",,,
S2-68122,"Rolled platinum, unworked, or semi-manufactured",,,
S2-68123,"Platinum and platinum alloys, unwrought",,,
S2-68124,"Other metals of the platinum group and alloys thereof, unwrought",,,
S2-68125,"Platinum, metals of the platinum group, alloys, semi-manufactured",,,
S2-682,Copper,,,
S2-6821,"Copper and copper alloys, refined or not, unwrought",,,
S2-68211,Unrefined copper (blister copper but excluding cement copper),,,
S2-68212,"Refined copper, (including alloys except master alloys), unwrought",,,
S2-68213,Master alloy of copper,,,
S2-6822,"Copper and copper alloys, worked",,,
S2-68221,"Copper bars, rods, angles, shapes, sections, wrought; copper wire",,,
S2-68222,"Copper plates, sheets and strips, wrought",,,
S2-68223,Copper foil not exceeding 0.15 mm,,,
S2-68224,Copper powders and flakes,,,
S2-68225,"Copper tubes, pipes, and blanks thereof; hollow bars of cooper",,,
S2-68226,Copper tubes and pipes fittings,,,
S2-683,Nickel,,,
S2-6831,"Nickel and nickel alloys, unwrought",,,
S2-6832,"Nickel and nickel alloys, worked",,,
S2-68321,"Nickel bars, rods, angles, shapes, sections, wrought; nickel wire",,,
S2-68322,"Nickel sheet, plates, strip, wrought; nickel foil, powders, flakes",,,
S2-68323,"Nickel tube, pipe, blanks; hollow bars; tube and pipe fittings",,,
S2-68324,"Electro-plating anodes, of nickel",,,
S2-684,Aluminium,,,
S2-6841,"Aluminium and aluminium alloys, unwrought",,,
S2-6842,"Aluminium and aluminium alloys, worked",,,
S2-68421,"Aluminium bars, rods, angles, shapes, etc, wrought; aluminium wire",,,
S2-68422,"Aluminium plates, sheets and strips, wrought",,,
S2-68423,"Aluminium foil, of a thickness not exceeding 0.20 mm",,,
S2-68424,Aluminium powders and flakes,,,
S2-68425,"Aluminium tubes, pipes and blanks; hollow bars of aluminium",,,
S2-68426,Aluminium tubes and pipes fittings,,,
S2-685,Lead,,,
S2-6851,"Lead, and lead alloys, unwrought",,,
S2-68511,Unrefined lead,,,
S2-68512,"Refine lead (excluding lead alloys), unwrought",,,
S2-68513,"Lead alloys, unwrought",,,
S2-6852,"Lead and lead alloys, worked",,,
S2-68521,"Lead bars, rods, angles, shapes and section, wrought; lead wire",,,
S2-68522,"Lead plate, sheets and strip, wrought",,,
S2-68523,"Lead foil, of a weight of 1,700 g/m2 or less; lead powder, flakes",,,
S2-68524,"Lead tubes, pipes, blanks; hollow bars, tube and pipes fittings",,,
S2-686,Zinc,,,
S2-6861,"Zinc and zinc alloys, unwrought",,,
S2-6863,Zinc and zinc alloys worked,,,
S2-68631,"Zinc bars, rods, angles, shapes and section, wrought; zinc wire",,,
S2-68632,"Zinc plates, sheets and strip, wrought; zinc foil",,,
S2-68633,"Zinc powders, dust (blue powder) and flakes",,,
S2-68634,"Zinc tubes, pipes, blanks; hollow bars, tube and pipes fittings",,,
S2-687,Tin,,,
S2-6871,"Tin and tin alloys, unwrought",,,
S2-6872,Tin and tin alloys worked,,,
S2-68721,"Tin bars, rods, angles, shapes and section, wrought; tin wire",,,
S2-68722,"Tin plates, sheets and strip, wrought",,,
S2-68723,"Tin foil, of a weight of 1 kg/m2 or less; tin powder and flakes",,,
S2-68724,"Tin tubes, pipes, blanks; hollow bars, tube and pipes fittings",,,
S2-688,"Uranium depleted in U235, thorium, and alloys, nes; waste and scrap",,,
S2-6880,"Uranium depleted in U235, thorium, and alloys, nes; waste and scrap",,,
S2-689,"Miscellaneous non-ferrous base metals, employed in metallurgy",,,
S2-6891,"Tungsten, molybdenum, tantalum, magnesium, unwrought; waste, scrap",,,
S2-68911,"Tungsten (wolfram), unwrought; waste and scrap",,,
S2-68912,"Molybdenum, unwrought; waste and scrap",,,
S2-68913,"Tantalum, unwrought; waste and scrap",,,
S2-68914,Magnesium waste and scrap,,,
S2-68915,"Magnesium, unwrought",,,
S2-6899,"Base metals, nes and cermets, unwrought (including waste and scrap)",,,
S2-68991,"Beryllium, unwrought; waste and scrap",,,
S2-68999,"Other base metals, nes, and cermets, unwrought; waste and scrap",,,
S2-69,"Manufactures of metals, nes",,,
S2-691,"Structures and parts, nes, of iron, steel or aluminium",,,
S2-6911,"Structures and parts of, of iron, steel; plates, rods, and the like",14,final,1
S2-6912,"Structures and parts of, of aluminium; plates, rods, and the like",,,
S2-692,Metal containers for storage and transport,13,final,1
S2-6921,"Iron, steel, aluminium reservoirs, tanks, etc, capacity 300 lt plus",,,
S2-69211,"Iron, steel, aluminium reservoirs, tanks, etc, capacity 300 lt plus; of iron or steel",,,
S2-69213,"Iron, steel, aluminium reservoirs, tanks, etc, capacity 300 lt plus; of aluminium",,,
S2-6924,"Cask, drums, etc, of iron, steel, aluminium, for packing goods",,,
S2-69241,"Cask, drums, boxes, etc, of iron, steel, for packing goods",6,final,1
S2-69242,"Cask, drums, boxes, etc, of aluminium, for packing goods",,,
S2-69243,"Containers, of iron or steel, for compress or liquefied gas",6,final,1
S2-69244,"Containers, of aluminium, for compress or liquefied gas",,,
S2-693,Wire products (excluding insulated electrical wire); fencing grills,,,
S2-6931,"Wire, cables, cordage, ropes, plaited bans, sling and the like",,,
S2-69311,"Wire, cables, cordage, ropes, plaited bans, sling and the like; of iron or steel",14,final,1
S2-69312,"Wire, cables, cordage, ropes, plaited bans, sling and the like; of copper",,,
S2-69313,"Wire, cables, cordage, ropes, plaited bans, sling and the like; of aluminium",,,
S2-6932,Barbed iron or steel wire: fencing wire,,,
S2-6935,"Gauze, cloth, grill, netting, reinforced fabric and the like",,,
S2-69351,"Gauze, cloth, grill, netting, reinforced fabric and the like; of iron",14,final,1
S2-69352,"Gauze, cloth, grill, netting, reinforced fabric and the like; of copper",,,
S2-694,"Nails, screws, nuts, bolts, rivets, etc, of iron, steel or copper",,,
S2-6940,"Nails, screws, nuts, bolts, rivets, etc, of iron, steel or copper",,,
S2-69401,"Iron or steel nails, tacks, hook-nails, spike cramps, studs, etc",4,final,1
S2-69402,"Iron or steel nuts, bolts, rivets, cotters, washers, etc",4,final,1
S2-69403,"Copper nails, bolts, spikes, rivets, cotters, washers, etc",,,
S2-695,Tools for use in the hand or in machines,5,final,1
S2-6951,"Hand tools, used in agriculture, horticulture or forestry",,,
S2-6953,Other hand tools,,,
S2-69531,Saws and blades for hand or machine saws,,,
S2-69532,Wrenches and spanners,,,
S2-69533,Files and rasps,,,
S2-69534,"Other hand tools, pliers, pincers, snips, bolt croppers, etc",,,
S2-69539,"Hand tools, nes; portable forges; grinding wheels with frameworks",,,
S2-6954,"Interchangeable tools for hand or machine tools (tips, blades, etc)",10,final,1
S2-69541,"Interchangeable tools for hand, machine, power-operated hand tools",,,
S2-69542,Knives or cutting blades for machines or mechanical appliances,,,
S2-69543,Carbide tool tips etc,,,
S2-696,Cutlery,5,final,1
S2-6960,Cutlery,,,
S2-69603,Razors and razor blades,,,
S2-69604,Scissors and blades therefor,,,
S2-69605,"Other articles of cutlery (secateurs, clippers, cleavers, etc)",,,
S2-69606,"Spoons, forks, ladles, etc, and similar kitchen or tableware",,,
S2-69607,Cutlery handles of base metal,,,
S2-69608,"Knives with cutting blades, other of heading 69542",,,
S2-697,"Household equipment of base metal, nes",,,
S2-6973,"Domestic, non-electric, heating, cooking apparatus, and parts, nes",,,
S2-69731,"Cooking apparatus, plate warmers, non-electrical, of iron, steel",7,final,1
S2-69732,"Domestic heating apparatus, non-electrical, of iron or steel",7,final,1
S2-69733,"Parts, nes of iron or steel, of apparatus of heading 6973",7,component,1
S2-69734,"Domestic heating apparatus, non-electrical, and parts, of copper",,,
S2-69735,"Domestic, non-electrical water heaters, and parts thereof, nes",7,component,1
S2-6974,"Base metal domestic articles, nes, and parts thereof, nes",,,
S2-69741,"Base metal domestic articles, nes, and parts thereof, nes; of iron or steel",7,final,1
S2-69742,"Base metal domestic articles, nes, and parts thereof, nes; of copper",,,
S2-69743,"Base metal domestic articles, nes, and parts thereof, nes; of aluminium",,,
S2-6975,"Base metal indoors sanitary ware, and parts thereof, nes",,,
S2-69751,"Base metal indoors sanitary ware, and parts thereof, nes; iron or steel",7,final,1
S2-69752,"Base metal indoors sanitary ware, and parts thereof, nes; copper",,,
S2-69753,"Base metal indoors sanitary ware, and parts thereof, nes; aluminium",,,
S2-6978,"Household appliances, decorative article, etc, of base metal, nes",,,
S2-69781,"Domestic food appliances, non-electrical",7,final,1
S2-69782,Base metal ornaments for indoors used; mirrors of base metal,7,final,1
S2-699,"Manufactures of base metal, nes",,,
S2-6991,"Locksmiths wares, safes, etc, and hardware, nes, of base metal",7,final,1
S2-69911,"Locks and padlocks, and parts thereof, of base metal",7,final,1
S2-69912,Base metal safes etc,7,final,1
S2-69913,"Base metal fitting and mountings, hat-racks, brackets and the like",7,final,1
S2-6992,"Chain and parts thereof, of iron or steel",7,final,1
S2-6993,"Pins, needles, etc, of iron, steel; metal fittings for clothing",7,final,1
S2-69931,"Hand needles, bodkins, crochet hooks, etc, of iron or steel",,,
S2-69932,"Pins, hairpins and curling grips, of iron or steel (not ornamental)",,,
S2-69933,"Base metal hooks, eyes, etc, used for clothing or travel goods",,,
S2-6994,"Springs and leaves for springs, of iron, steel or copper",,,
S2-69941,"Springs and leaves for springs, of iron or steel",7,final,1
S2-69942,Springs of copper,,,
S2-6996,Miscellaneous articles of base metal,,,
S2-69961,"Flexible tubing and piping, of base metal",7,final,1
S2-69962,"Bells, gongs, non-electric, of base metal, and parts of base metal",7,final,1
S2-69963,"Stoppers, caps, etc, and other packing accessories, of base metal",7,final,1
S2-69964,"Sign-plates, numbers, letters and other signs, of base metal",7,final,1
S2-69965,"Rods, electrodes, wire, and the like, for soldering, of base metal",7,final,1
S2-6997,"Articles of iron or steel, nes",,,
S2-69971,"Anchors and grapnels and parts thereof, of iron or steel",5,final,1
S2-69979,"Other articles of iron or steel, nes",5,final,1
S2-6998,"Articles, nes, of copper, nickel, aluminium, lead, zinc and tin",,,
S2-69981,"Articles, nes, of copper, nickel, aluminium, lead, zinc and tin; of copper",,,
S2-69982,"Articles, nes, of copper, nickel, aluminium, lead, zinc and tin; of nickel",,,
S2-69983,"Articles, nes, of copper, nickel, aluminium, lead, zinc and tin; of aluminium",,,
S2-69984,"Articles, nes, of copper, nickel, aluminium, lead, zinc and tin; of lead",,,
S2-69985,"Articles, nes, of copper, nickel, aluminium, lead, zinc and tin; of zinc",,,
S2-69986,"Articles, nes, of copper, nickel, aluminium, lead, zinc and tin; of tin",,,
S2-6999,"Other base metal manufactures, nes; and of cermets",,,
S2-69991,"Tungsten, wrought, and articles of tungsten, nes",,,
S2-69992,"Molybdenum wrought, and articles of molybdenum, nes",,,
S2-69993,"Tantalum wrought, and articles of tantalum, nes",,,
S2-69994,"Magnesium wrought, and articles of magnesium, like rods, wire, etc",,,
S2-69995,"Beryllium wrought, and articles of beryllium, nes",,,
S2-69999,"Base metals and cermets, nes, wrought, and articles thereof",,,
S2-7,Machinery and transport equipment,,,
S2-71,Power generating machinery and equipment,,,
S2-711,"Steam boilers and auxiliary plant; and parts thereof, nes",,,
S2-7111,Steam and other vapour-generated boilers; super-heated water boiler,18,final,1
S2-7112,Auxiliary plant for boilers of heading 7111; condensers,18,final,1
S2-7119,"Parts, nes of boilers and auxiliary plant of headings 7111 and 7112",18,component,1
S2-71191,"Parts, nes of the boilers falling within heading 7111",,,
S2-71199,"Parts, nes of the apparatus, appliances falling within heading 7112",,,
S2-712,"Steam engines, turbines",,,
S2-7126,"Steam power units (mobile engines but not steam tractors, etc)",13,final,1
S2-7129,"Parts, nes of steam power units",13,component,1
S2-713,"Internal combustion piston engines, and parts thereof, nes",,,
S2-7131,"Internal combustion piston engines, for aircraft, and parts, nes",,,
S2-71311,"Internal combustion piston engines, for aircraft",,,
S2-71319,"Parts, nes of the aircraft engines falling within heading 71311",,,
S2-7132,"Motor vehicles piston engines, headings: 722; 78; 74411 and 95101",15b,component,1
S2-7133,"Internal combustion piston engines, marine propulsion",16,final,1
S2-71331,"Internal combustion piston engines, marine propulsion; outboard",,,
S2-71332,"Internal combustion piston engines, marine propulsion; other than outboard",,,
S2-7138,"Internal combustion piston engines, nes",15b,component,1
S2-7139,"Piston engines parts, nes, falling in headings: 7132, 7133 and 7138",15b,component,1
S2-714,"Engines and motors, non-electric; parts, nes; group 714, item 71888",,,
S2-7144,Reaction engines,12,final,1
S2-7148,"Gas turbines, nes",12,final,1
S2-71481,Turbo-propellers,,,
S2-71488,"Other gas turbines, nes",,,
S2-7149,"Parts, nes of the engines and motors of group 714 and item 71888",12,component,1
S2-71491,"Parts, nes of reaction engines or turbo-propellers",,,
S2-71499,"Parts, nes of the engines and motors of headings 71488 and 71888",,,
S2-716,"Rotating electric plant and parts thereof, nes",,,
S2-7161,"Motors and generators, direct current",12,final,1
S2-7162,"Electric motors, generators (not direct current); generating sets",12,final,1
S2-71621,"Electric motors (including ac/dc motors), other than direct current",,,
S2-71622,"Generators, alternating current",,,
S2-71623,Generating sets with internal combustion piston engines,,,
S2-7163,Rotary converters,12,final,1
S2-7169,"Parts, nes, of rotating electric plant",12,component,1
S2-718,"Other power generating machinery and parts thereof, nes",,,
S2-7187,"Nuclear reactors, and parts thereof, nes",18,component,1
S2-7188,"Engines and motors, nes (wind, hot air engines, water wheel, etc)",18,component,1
S2-71881,Water turbines,,,
S2-71882,Other hydraulic engines and motors (including waterwheels),,,
S2-71888,"Other engines and motors, nes",,,
S2-71889,"Regulators for and parts, nes, of headings 71881, 71882",,,
S2-72,Machinery specialized for particular industries,,,
S2-721,"Agricultural machinery (excluding tractors) and parts thereof, nes",,,
S2-7211,"Agricultural and horticultural machinery for soil preparation, etc",,,
S2-72111,Ploughs,9,final,1
S2-72112,"Seeders, planters, etc (other than hand tools)",9,final,1
S2-72113,"Scarifiers, cultivators, weeders, etc (other than hand tools)",9,final,1
S2-72118,"Other agricultural, horticultural machinery; lawn, ground rollers",9,final,1
S2-72119,"Parts, nes of the machinery falling within heading 7211",9,component,1
S2-7212,"Harvesting and threshing machines; fodder presses, etc; parts nes",,,
S2-72121,Lawn mowers,9,final,1
S2-72122,Combine harvester-thresher,9,final,1
S2-72123,"Other harvesting, threshing machines; mowers, straw, fodder presses",9,final,1
S2-72124,"Agricultural cleaning, grading machines",9,final,1
S2-72129,"Parts, nes, of the machines falling within heading 7212",9,component,1
S2-7213,"Dairy machinery, nes (including milking machines), and parts nes",,,
S2-72131,Milking machines,9,final,1
S2-72138,"Other dairy machinery, nes",9,final,1
S2-72139,"Parts, nes of the machinery falling within heading 7213",9,component,1
S2-7219,"Agricultural machinery and appliances, nes, and parts thereof, nes",,,
S2-72191,"Presses, crushers and other machinery for wine, cider-making, etc",9,final,1
S2-72197,"Other agricultural, horticultural, poultry-keeping, etc machinery",9,final,1
S2-72198,"Parts, nes of the machinery falling within heading 72191",9,component,1
S2-72199,"Parts, nes of the machinery and appliances of heading 72197",9,component,1
S2-722,Tractors (other than those falling in heading 74411 and 7832),9,final,1
S2-7223,Track-laying tractors,,,
S2-7224,"Wheeled tractors (other than those falling in heading 74411, 7832)",,,
S2-723,"Civil engineering, contractors' plant and equipment and parts, nes",,,
S2-7233,"Road rollers, mechanically propelled",11,final,1
S2-7234,"Construction and mining machinery, nes",11,final,1
S2-72341,"Bulldozers, angledozers and levellers, self-propelled",,,
S2-72342,"Mechanical shovels and excavators, self-propelled",,,
S2-72343,"Other excavating, tamping, boring, etc, machinery, self-propelled",,,
S2-72344,"Boring and sinking machinery, not self-propelled",,,
S2-72345,"Pile drivers; snow-ploughs, not self -propelled",,,
S2-72346,"Other excavating, levelling, etc machinery, not self-propelled",,,
S2-72348,"Machines and mechanical appliance for public works, nes",,,
S2-7239,"Parts, nes of machinery and equipment of headings 72341 to 72346",11,component,1
S2-724,"Textile and leather machinery, and parts thereof, nes",,,
S2-7243,"Sewing machines, furniture, needles etc, and parts thereof, nes",,,
S2-72431,Sewing machines,12,final,1
S2-72439,"Sewing machine needles; furniture specially for sewing; parts, nes",12,component,1
S2-7244,Machines for extruding man-made textile; other textile machinery,,,
S2-72441,Machine for extruding man-made textiles,12,final,1
S2-72442,"Machines for processing natural or man-made textile fibres, nes",12,final,1
S2-72443,"Textile spinning, twisting, doubling, throwing and reeling machines",12,final,1
S2-72449,"Parts, nes, and accessories for use in machines of heading 7244",12,component,1
S2-7245,"Weaving, knitting, etc, machines, machines for preparing yarns, etc",12,final,1
S2-72451,Weaving machines (looms),,,
S2-72452,Knitting machines,,,
S2-72453,"Gimping, warping, netting, etc machines",,,
S2-72454,"Machinery for the manufacture or finishing of felt, and parts, nes",,,
S2-7246,Auxiliary machinery for use with those of headings 72451 to 72453,,,
S2-72461,Auxiliary machinery for use with those of headings 72451 to 72453,12,final,1
S2-72469,"Parts, nes, accessories for machines of headings 72451-53 and 72461",12,component,1
S2-7247,"Textile machinery, nes for cleaning, cutting, etc, and parts nes",,,
S2-72471,"Clothes-washing machines, of a dry linen capacity of more than 6 kg",8,final,1
S2-72472,Dry-cleaning machines,8,final,1
S2-72473,"Drying machines, industrial",8,final,1
S2-72474,"Other textile machines, nes",8,final,1
S2-72479,"Parts, nes of the machines falling within headings 7247 and 7751",8,component,1
S2-7248,"Machinery for preparing, tanning, working leather, etc; parts nes",12,final,1
S2-725,"Paper and paper manufacture machinery, and parts thereof, nes",,,
S2-7251,"Machinery for making, finishing cellulose pulp, paper or paperboard",12,final,1
S2-72511,Machinery for making cellulosic pulp,,,
S2-72512,Machinery for making or finishing paper or paperboard,,,
S2-7252,"Machinery for making paper pulp, paper, paperboard; cutting machines",12,final,1
S2-7259,"Parts, nes of the machines falling within heading 725",12,component,1
S2-72591,"Parts, nes of the machines falling within heading 7251",,,
S2-72599,"Parts, nes of the machines falling within heading 7252",,,
S2-726,"Printing, bookbinding machinery, and parts thereof, nes",,,
S2-7263,"Machinery, accessories for type-setting, for printing blocks, etc",12,final,1
S2-72631,Type founding or setting machinery; machinery for printing blocks,,,
S2-72632,"Printing type, impress flongs and matrices, printing plates, etc",,,
S2-7264,Printing presses,12,final,1
S2-72641,Rotary printing presses,,,
S2-72642,Platen printing presses,,,
S2-7267,Other printing machinery; machines for uses ancilliary to printing,12,final,1
S2-72671,Printing machinery,,,
S2-72672,Machines for uses ancillary to printing,,,
S2-7268,"Bookbinding machinery; parts thereof, nes",,,
S2-72681,Bookbinding machinery (including book sewing machines),12,final,1
S2-72689,"Parts, nes of bookbinding machinery",12,component,1
S2-7269,"Parts, nes of machines falling within headings 72631, 7264, 7267",12,component,1
S2-72691,"Parts, nes of the machines falling within headings 72631",,,
S2-72699,"Parts, nes of the machines falling within headings 7264 and 7267",,,
S2-727,"Food-processing machines (non-domestic) and parts thereof, nes",,,
S2-7271,"Machinery for the grain milling industry; working cereals, parts",,,
S2-72711,"Machinery for grain milling, working of cereals or dried leguminous",12,final,1
S2-72719,"Parts, nes of the machinery falling within heading 72711",12,component,1
S2-7272,"Other food-processing machinery and parts thereof, nes",,,
S2-72721,"Machines, appliances for animal, vegetable fats and oils industry",12,final,1
S2-72722,"Machinery, nes for the food and drink industries",12,final,1
S2-72729,"Parts, nes for food-processing machinery falling in heading 72722",12,component,1
S2-728,"Other machinery, equipment, for specialized industries; parts nes",,,
S2-7281,"Machine-tools for specialized industries; parts or accessories, nes",,,
S2-72811,Mach-tools for working minerals or for working glass in the cold,12,final,1
S2-72812,"Mach-tools for working wood, ebonite, or hard carving materials",12,final,1
S2-72819,"Parts, nes of and accessories for machine-tools of heading 7281",12,final,1
S2-7283,"Other mineral working machinery; and parts thereof, nes",com,,
S2-72831,"Machinery for sorting, screening, washing, etc, mineral substances",12,final,1
S2-72832,"Machinery for crushing, grinding, etc, mineral substances",12,final,1
S2-72833,"Machinery for mixing, kneading mineral substances",12,final,1
S2-72834,"Machinery for agglomerating, moulding, shaping, etc, minerals",12,final,1
S2-72839,"Parts, nes of the machinery falling within heading 7283",12,component,1
S2-7284,"Machinery for specialized industries and parts thereof, nes",,,
S2-72841,"Glass-working machines; machines discharge lamps, etc, parts nes",12,final,1
S2-72842,"Machines for the rubber and plastics materials industries, nes",12,final,1
S2-72843,"Machines and mechanical appliances for the tobacco industry, nes",12,final,1
S2-72844,"Machines and mechanical appliances for treating wood, nes",12,final,1
S2-72845,"Machines and mechanical appliances for treating metals, nes",12,final,1
S2-72848,"Other machinery, mechanical appliances having individual functions",12,final,1
S2-72849,"Parts, nes of machines in headings 72348, 72721, and 72842-72848",12,component,1
S2-73,Metalworking machinery,,,
S2-736,"Metalworking machine-tools, parts and accessories thereof, nes",,,
S2-7361,Metal cutting machine-tools,10,final,1
S2-73611,Metalworking machine-tools; ultrasonic machine-tools,,,
S2-73612,Gear-cutting machines,,,
S2-73613,"Lathes, metalworking",,,
S2-73614,"Reaming or milling machines, metalworking",,,
S2-73615,"Drilling and boring machines, metalworking",,,
S2-73616,"Sawing machines, metalworking",,,
S2-73617,"Planing machines, metalworking",,,
S2-73618,Tapping or screw-cuttings machines,,,
S2-73619,Other metal cutting or surfacing machine-tools,,,
S2-7362,Metal forming machine-tool,10,final,1
S2-73621,"Forging machines and stamping machines, metalworking",,,
S2-73622,"Bending, forming, folding or flattering machines, metalworking",,,
S2-73623,"Shearing, punching or notching machines, metalworking",,,
S2-73628,Other metalworking presses,,,
S2-7367,"Other machines-tools for working metal or metal carbides, nes",10,final,1
S2-7368,"Work holders, dividing heads for machine-tools, etc; tool holders",10,final,1
S2-7369,"Parts, nes of and accessories for machine-tools of heading 736",10,component,1
S2-737,"Metalworking machinery (other than machine-tools), and parts, nes",,,
S2-7371,"Metallurgy and metal foundry equipment, and parts thereof, nes",,,
S2-73711,"Converters, ladles, ingot mould and casting machines",10,final,1
S2-73719,"Parts, nes of machines and appliances falling within heading 73711",10,component,1
S2-7372,"Rolling mills, rolls therefor, and parts, nes of rolling mills",,,
S2-73721,Rolling mills,10,final,1
S2-73729,"Rolls for and parts, nes of rolling mills",10,component,1
S2-7373,"Welding, brazing, cutting, etc machines and appliances, parts, nes",10,final,1
S2-73731,"Gas operated welding, surface-tempering appliances, etc, parts, nes",,,
S2-73732,"Electric or laser-operated welders, etc, machines, and parts, nes",,,
S2-74,"General industrial machinery and equipment, nes, and parts of, nes",,,
S2-741,"Heating and cooling equipment and parts thereof, nes",,,
S2-7411,"Gas generators, and parts, nes of gas generators",13,final,1
S2-7412,"Furnace burners; mechanical stokers, etc, and parts thereof, nes",13,final,1
S2-7413,"Industrial and laboratory furnaces and ovens, etc, parts, nes",13,final,1
S2-74131,"Industrial electric furnaces, ovens, heating equipment, parts, nes",,,
S2-74132,"Industrial, laboratory furnaces and ovens, non-electric, parts, nes",,,
S2-7414,"Non-domestic refrigerators and refrigerating equipment, parts, nes",,,
S2-74141,Non-domestic refrigerators and refrigerating equipment,13,final,1
S2-74149,"Parts, nes of refrigerators and refrigerating equipment",13,component,1
S2-7415,"Air conditioning machines and parts thereof, nes",8,final,1
S2-7416,"Machinery, plant, laboratory equipment for heating and cooling, nes",13,final,1
S2-742,"Pumps for liquids; liquid elevators; and parts thereof, nes",,,
S2-7421,Reciprocating pumps (other than those of heading 74281),13,final,1
S2-7422,Centrifugal pumps (other than those of heading 74281),13,final,1
S2-7423,Rotary pumps (other than those of heading 74281),13,final,1
S2-7428,Other pumps for liquids and liquid elevators,13,final,1
S2-74281,Garage-type fuel or lubricant pumps,,,
S2-74288,"Pumps for liquids, nes and liquid elevators",,,
